Ensmebl_ID	name	Statistic	Pvalue	Significance	qvalue	fdr.level	BEBSites	NumBEBSites			
ENSG00000127191	TRAF2	0	1	NS	1	0.05	3 A 0.635	1			
ENSG00000127311	HELB	0	1	NS	1	0.05					
ENSG00000127452	FBXL12	0	1	NS	1	0.05					
ENSG00000128052	KDR	0	1	NS	1	0.05					
ENSG00000128645	HOXD1	0	1	NS	1	0.05					
ENSG00000128652	HOXD3	0	1	NS	1	0.05	101 G 0.808	1			
ENSG00000128694	OSGEPL1	0	1	NS	1	0.05					
ENSG00000128709	HOXD9	0	1	NS	1	0.05	1 T 0.909	1			
ENSG00000128710	HOXD10	0	1	NS	1	0.05					
ENSG00000128713	HOXD11	0	1	NS	1	0.05					
ENSG00000128714	HOXD13	0	1	NS	1	0.05	35 - 0.667	1			
ENSG00000130770	ATP5IF1	0	1	NS	1	0.05					
ENSG00000130957	FBP2	0	1	NS	1	0.05					
ENSG00000131142	CCL25	0	1	NS	1	0.05					
ENSG00000131747	TOP2A	0	1	NS	1	0.05	1126 N 0.925	1			
ENSG00000131828	PDHA1	0	1	NS	1	0.05					
ENSG00000132300	PTCD3	0	1	NS	1	0.05					
ENSG00000132646	PCNA	0	1	NS	1	0.05					
ENSG00000132906	CASP9	0	1	NS	1	0.05	3 - 0.883	1			
ENSG00000134061	CD180	0	1	NS	1	0.05					
ENSG00000134333	LDHA	0	1	NS	1	0.05					
ENSG00000134352	IL6ST	0	1	NS	1	0.05					
ENSG00000134594	RAB33A	0	1	NS	1	0.05					
ENSG00000134709	HOOK1	0	1	NS	1	0.05	534 Q 0.871	1			
ENSG00000134954	ETS1	0	1	NS	1	0.05					
ENSG00000135046	ANXA1	0	1	NS	1	0.05					
ENSG00000135341	MAP3K7	0	1	NS	1	0.05					
ENSG00000135363	LMO2	0	1	NS	1	0.05					
ENSG00000135446	CDK4	0	1	NS	1	0.05					
ENSG00000135749	PCNX2	0	1	NS	1	0.05					
ENSG00000136244	IL6	0	1	NS	1	0.05					
ENSG00000137124	ALDH1B1	0	1	NS	1	0.05					
ENSG00000137275	RIPK1	0	1	NS	1	0.05	133 G 0.504	1			
ENSG00000137674	MMP20	0	1	NS	1	0.05					
ENSG00000137675	MMP27	0	1	NS	1	0.05					
ENSG00000137731	FXYD2	0	1	NS	1	0.05					
ENSG00000137745	MMP13	0	1	NS	1	0.05					
ENSG00000138069	RAB1A	0	1	NS	1	0.05					
ENSG00000138363	ATIC	0	1	NS	1	0.05					
ENSG00000138435	CHRNA1	0	1	NS	1	0.05					
ENSG00000138675	FGF5	0	1	NS	1	0.05					
ENSG00000138764	CCNG2	0	1	NS	1	0.05					
ENSG00000138768	USO1	0	1	NS	1	0.05					
ENSG00000139187	KLRG1	0	1	NS	1	0.05					
ENSG00000139514	SLC7A1	0	1	NS	1	0.05					
ENSG00000139874	SSTR1	0	1	NS	1	0.05					
ENSG00000141510	TP53	0	1	NS	1	0.05					
ENSG00000141582	CBX4	0	1	NS	1	0.05	134 S 0.569	1			
ENSG00000142208	AKT1	0	1	NS	1	0.05					
ENSG00000142686	C1orf216	0	1	NS	1	0.05					
ENSG00000142875	PRKACB	0	1	NS	1	0.05					
ENSG00000143502	SUSD4	0	1	NS	1	0.05					
ENSG00000143545	RAB13	0	1	NS	1	0.05					
ENSG00000143995	MEIS1	0	1	NS	1	0.05	424 T 0.589	1			
ENSG00000144566	RAB5A	0	1	NS	1	0.05					
ENSG00000144659	SLC25A38	0	1	NS	1	0.05	269 R 0.733	1			
ENSG00000145020	AMT	0	1	NS	1	0.05					
ENSG00000145623	OSMR	0	1	NS	1	0.05					
ENSG00000145888	GLRA1	0	1	NS	1	0.05					
ENSG00000146701	MDH2	0	1	NS	1	0.05					
ENSG00000147123	NDUFB11	0	1	NS	1	0.05					
ENSG00000147443	DOK2	0	1	NS	1	0.05					
ENSG00000147862	NFIB	0	1	NS	1	0.05					
ENSG00000147889	CDKN2A	0	1	NS	1	0.05					
ENSG00000148400	NOTCH1	0	1	NS	1	0.05					
ENSG00000149311	ATM	0	1	NS	1	0.05					
ENSG00000149516	MS4A3	0	1	NS	1	0.05					
ENSG00000149925	ALDOA	0	1	NS	1	0.05					
ENSG00000149968	MMP3	0	1	NS	1	0.05					
ENSG00000150787	PTS	0	1	NS	1	0.05	79 Y 0.547	1			
ENSG00000151702	FLI1	0	1	NS	1	0.05					
ENSG00000152990	ADGRA3	0	1	NS	1	0.05					
ENSG00000153208	MERTK	0	1	NS	1	0.05					
ENSG00000153563	CD8A	0	1	NS	1	0.05					
ENSG00000154065	ANKRD29	0	1	NS	1	0.05	44 S 0.506	1			
ENSG00000154096	THY1	0	1	NS	1	0.05					
ENSG00000154589	LY96	0	1	NS	1	0.05					
ENSG00000156599	ZDHHC5	0	1	NS	1	0.05	436 T 0.912	1			
ENSG00000157005	SST	0	1	NS	1	0.05					
ENSG00000157150	TIMP4	0	1	NS	1	0.05					
ENSG00000157227	MMP14	0	1	NS	1	0.05					
ENSG00000159131	GART	0	1	NS	1	0.05					
ENSG00000159173	TNNI1	0	1	NS	1	0.05					
ENSG00000159216	RUNX1	0	1	NS	1	0.05					
ENSG00000159899	NPR2	0	1	NS	1	0.05					
ENSG00000160014	CALM3	0	1	NS	1	0.05					
ENSG00000160049	DFFA	0	1	NS	1	0.05					
ENSG00000160255	ITGB2	0	1	NS	1	0.05					
ENSG00000160712	IL6R	0	1	NS	1	0.05					
ENSG00000160791	CCR5	0	1	NS	1	0.05					
ENSG00000162188	GNG3	0	1	NS	1	0.05					
ENSG00000162367	TAL1	0	1	NS	1	0.05					
ENSG00000162676	GFI1	0	1	NS	1	0.05					
ENSG00000163114	PDHA2	0	1	NS	1	0.05					
ENSG00000163599	CTLA4	0	1	NS	1	0.05					
ENSG00000163600	ICOS	0	1	NS	1	0.05					
ENSG00000163735	CXCL5	0	1	NS	1	0.05					
ENSG00000164104	HMGB2	0	1	NS	1	0.05					
ENSG00000164252	AGGF1	0	1	NS	1	0.05					
ENSG00000164305	CASP3	0	1	NS	1	0.05	15 N 0.620	1			
ENSG00000164400	CSF2	0	1	NS	1	0.05					
ENSG00000164708	PGAM2	0	1	NS	1	0.05					
ENSG00000164867	NOS3	0	1	NS	1	0.05					
ENSG00000164949	GEM	0	1	NS	1	0.05					
ENSG00000165092	ALDH1A1	0	1	NS	1	0.05					
ENSG00000165140	FBP1	0	1	NS	1	0.05					
ENSG00000165806	CASP7	0	1	NS	1	0.05					
ENSG00000166278	C2	0	1	NS	1	0.05					
ENSG00000166473	PKD1L2	0	1	NS	1	0.05					
ENSG00000166670	MMP10	0	1	NS	1	0.05					
ENSG00000166796	LDHC	0	1	NS	1	0.05					
ENSG00000167136	ENDOG	0	1	NS	1	0.05	8 L 0.837	1			
ENSG00000167346	MMP26	0	1	NS	1	0.05					
ENSG00000167395	ZNF646	0	1	NS	1	0.05					
ENSG00000167701	GPT	0	1	NS	1	0.05					
ENSG00000167964	RAB26	0	1	NS	1	0.05	183 Q 0.715	1			
ENSG00000168040	FADD	0	1	NS	1	0.05	18 S 0.698	1			
ENSG00000168118	RAB4A	0	1	NS	1	0.05	41 D 0.596	1			
ENSG00000168283	BMI1	0	1	NS	1	0.05					
ENSG00000168505	GBX2	0	1	NS	1	0.05	134 G 0.712	1			
ENSG00000168685	IL7R	0	1	NS	1	0.05					
ENSG00000169213	RAB3B	0	1	NS	1	0.05					
ENSG00000169245	CXCL10	0	1	NS	1	0.05					
ENSG00000169836	TACR3	0	1	NS	1	0.05					
ENSG00000169860	P2RY1	0	1	NS	1	0.05					
ENSG00000169926	KLF13	0	1	NS	1	0.05					
ENSG00000170166	HOXD4	0	1	NS	1	0.05					
ENSG00000170458	CD14	0	1	NS	1	0.05					
ENSG00000171612	SLC25A33	0	1	NS	1	0.05	40 Q 0.514	1			
ENSG00000172115	CYCS	0	1	NS	1	0.05	45 P 0.511	1			
ENSG00000172179	PRL	0	1	NS	1	0.05					
ENSG00000172216	CEBPB	0	1	NS	1	0.05					
ENSG00000172572	PDE3A	0	1	NS	1	0.05					
ENSG00000172936	MYD88	0	1	NS	1	0.05					
ENSG00000173369	C1QB	0	1	NS	1	0.05					
ENSG00000173372	C1QA	0	1	NS	1	0.05					
ENSG00000173917	HOXB2	0	1	NS	1	0.05	105 K 0.856	1			
ENSG00000174775	HRAS	0	1	NS	1	0.05					
ENSG00000175189	INHBC	0	1	NS	1	0.05					
ENSG00000175305	CCNE2	0	1	NS	1	0.05					
ENSG00000175832	ETV4	0	1	NS	1	0.05					
ENSG00000176890	TYMS	0	1	NS	1	0.05					
ENSG00000176974	SHMT1	0	1	NS	1	0.05					
ENSG00000177150	FAM210A	0	1	NS	1	0.05	272 E 0.674	1			
ENSG00000177455	CD19	0	1	NS	1	0.05					
ENSG00000177807	KCNJ10	0	1	NS	1	0.05					
ENSG00000177885	GRB2	0	1	NS	1	0.05					
ENSG00000178035	IMPDH2	0	1	NS	1	0.05					
ENSG00000178343	SHISA3	0	1	NS	1	0.05					
ENSG00000179295	PTPN11	0	1	NS	1	0.05					
ENSG00000179348	GATA2	0	1	NS	1	0.05					
ENSG00000179388	EGR3	0	1	NS	1	0.05	52 E 0.699	1			
ENSG00000180644	PRF1	0	1	NS	1	0.05	3 A 0.549	1			
ENSG00000180914	OXTR	0	1	NS	1	0.05					
ENSG00000181929	PRKAG1	0	1	NS	1	0.05					
ENSG00000182326	C1S	0	1	NS	1	0.05					
ENSG00000182348	ZNF804B	0	1	NS	1	0.05					
ENSG00000182866	LCK	0	1	NS	1	0.05					
ENSG00000184292	TACSTD2	0	1	NS	1	0.05					
ENSG00000185532	PRKG1	0	1	NS	1	0.05					
ENSG00000188191	PRKAR1B	0	1	NS	1	0.05					
ENSG00000188674	C2orf80	0	1	NS	1	0.05					
ENSG00000188992	LIPI	0	1	NS	1	0.05					
ENSG00000189403	HMGB1	0	1	NS	1	0.05					
ENSG00000196591	HDAC2	0	1	NS	1	0.05					
ENSG00000196924	FLNA	0	1	NS	1	0.05					
ENSG00000196943	NOP9	0	1	NS	1	0.05					
ENSG00000197461	PDGFA	0	1	NS	1	0.05					
ENSG00000197702	PARVA	0	1	NS	1	0.05					
ENSG00000197757	HOXC6	0	1	NS	1	0.05					
ENSG00000197894	ADH5	0	1	NS	1	0.05					
ENSG00000198467	TPM2	0	1	NS	1	0.05					
ENSG00000198517	MAFK	0	1	NS	1	0.05	17 A 0.778	1			
ENSG00000198598	MMP17	0	1	NS	1	0.05					
ENSG00000198668	CALM1	0	1	NS	1	0.05					
ENSG00000198874	TYW1	0	1	NS	1	0.05					
ENSG00000203618	GP1BB	0	1	NS	1	0.05	190 R 0.725	1			
ENSG00000204103	MAFB	0	1	NS	1	0.05					
ENSG00000204498	NFKBIL1	0	1	NS	1	0.05	167 Q 0.655	1			
ENSG00000205922	ONECUT3	0	1	NS	1	0.05					
ENSG00000215788	TNFRSF25	0	1	NS	1	0.05					
ENSG00000228716	DHFR	0	1	NS	1	0.05					
ENSG00000240505	TNFRSF13B	0	1	NS	1	0.05					
ENSG00000244731	C4A	0	1	NS	1	0.05					
ENSG00000245848	CEBPA	0	1	NS	1	0.05					
ENSG00000265491	RNF115	0	1	NS	1	0.05	77 H 0.537	1			
